date,period,decision_time,action,message_type,matched_app_time
2024-02-06,morning,2024-02-06 07:30:00,1,QA-01,2024-02-05 15:36:00
2024-02-06,evening,2024-02-06 20:30:00,0,,2024-02-06 08:15:00
2024-02-07,morning,2024-02-07 07:30:00,0,,2024-02-06 08:15:00
2024-02-07,evening,2024-02-07 20:30:00,0,,2024-02-06 08:15:00
2024-02-08,morning,2024-02-08 07:30:00,0,,2024-02-06 08:15:00
2024-02-08,evening,2024-02-08 20:30:00,0,,2024-02-08 09:25:00
2024-02-09,morning,2024-02-09 07:30:00,1,RP-36,2024-02-08 09:25:00
2024-02-09,evening,2024-02-09 20:30:00,1,RP-16,2024-02-08 09:25:00
2024-02-10,morning,2024-02-10 08:30:00,0,,2024-02-08 09:25:00
2024-02-10,evening,2024-02-10 20:30:00,1,SR-44,2024-02-08 09:25:00
2024-02-11,morning,2024-02-11 08:30:00,1,QA-25,2024-02-08 09:25:00
2024-02-11,evening,2024-02-11 20:30:00,1,FB-01,2024-02-11 08:33:00
2024-02-12,morning,2024-02-12 07:30:00,1,QA-26,2024-02-11 08:33:00
2024-02-12,evening,2024-02-12 20:30:00,0,,2024-02-11 08:33:00
2024-02-13,morning,2024-02-13 07:30:00,1,RP-46,2024-02-11 08:33:00
2024-02-13,evening,2024-02-13 20:30:00,0,,2024-02-13 14:54:00
2024-02-14,morning,2024-02-14 07:30:00,1,QA-07,2024-02-13 14:54:00
2024-02-14,evening,2024-02-14 20:30:00,0,,2024-02-13 14:54:00
2024-02-15,morning,2024-02-15 07:30:00,0,,2024-02-13 14:54:00
2024-02-15,evening,2024-02-15 20:30:00,0,,2024-02-15 11:53:00
2024-02-16,morning,2024-02-16 07:30:00,1,SR-15,2024-02-15 11:53:00
2024-02-16,evening,2024-02-16 20:30:00,1,RP-01,2024-02-15 11:53:00
2024-02-17,morning,2024-02-17 08:30:00,1,QA-09,2024-02-15 11:53:00
2024-02-17,evening,2024-02-17 20:30:00,1,RP-01,2024-02-17 20:29:00
2024-02-18,morning,2024-02-18 08:30:00,0,,2024-02-17 20:49:00
2024-02-18,evening,2024-02-18 20:30:00,1,FB-12,2024-02-17 20:49:00
2024-02-19,morning,2024-02-19 07:30:00,1,SR-10,2024-02-17 20:49:00
2024-02-19,evening,2024-02-19 20:30:00,0,,2024-02-17 20:49:00
2024-02-20,morning,2024-02-20 07:30:00,1,SR-41,2024-02-17 20:49:00
2024-02-20,evening,2024-02-20 20:30:00,0,,2024-02-17 20:49:00
2024-02-21,morning,2024-02-21 07:30:00,0,,2024-02-17 20:49:00
2024-02-21,evening,2024-02-21 20:30:00,0,,2024-02-17 20:49:00
2024-02-22,morning,2024-02-22 07:30:00,0,,2024-02-17 20:49:00
2024-02-22,evening,2024-02-22 20:30:00,1,SR-21,2024-02-17 20:49:00
2024-02-23,morning,2024-02-23 07:30:00,1,SR-21,2024-02-17 20:49:00
2024-02-23,evening,2024-02-23 20:30:00,1,RP-13,2024-02-17 20:49:00
2024-02-24,morning,2024-02-24 08:30:00,1,RP-50,2024-02-24 08:28:00
2024-02-24,evening,2024-02-24 20:30:00,1,RP-21,2024-02-24 09:15:00
2024-02-25,morning,2024-02-25 08:30:00,0,,2024-02-24 09:15:00
2024-02-25,evening,2024-02-25 20:30:00,0,,2024-02-24 09:15:00
2024-02-26,morning,2024-02-26 07:30:00,0,,2024-02-24 09:15:00
2024-02-26,evening,2024-02-26 20:30:00,0,,2024-02-24 09:15:00
2024-02-27,morning,2024-02-27 07:30:00,0,,2024-02-24 09:15:00
2024-02-27,evening,2024-02-27 20:30:00,0,,2024-02-24 09:15:00
2024-02-28,morning,2024-02-28 07:30:00,0,,2024-02-24 09:15:00
2024-02-28,evening,2024-02-28 20:30:00,0,,2024-02-24 09:15:00
2024-02-29,morning,2024-02-29 07:30:00,0,,2024-02-24 09:15:00
2024-02-29,evening,2024-02-29 20:30:00,1,SR-32,2024-02-24 09:15:00
2024-03-01,morning,2024-03-01 07:30:00,1,SR-47,2024-02-24 09:15:00
2024-03-01,evening,2024-03-01 20:30:00,1,FB-09,2024-02-24 09:15:00
2024-03-02,morning,2024-03-02 08:30:00,1,QA-14,2024-02-24 09:15:00
2024-03-02,evening,2024-03-02 20:30:00,0,,2024-02-24 09:15:00
2024-03-03,morning,2024-03-03 08:30:00,1,SR-19,2024-02-24 09:15:00
2024-03-03,evening,2024-03-03 20:30:00,0,,2024-02-24 09:15:00
2024-03-04,morning,2024-03-04 07:30:00,1,QA-16,2024-02-24 09:15:00
2024-03-04,evening,2024-03-04 20:30:00,1,SR-23,2024-03-04 20:30:00
